,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022
"Stabenow, Debbie (D-MI)",,,,,,,15000,23200,84053,9750,98296,295893,22500,59600,254174,30176,90988
"Jeffords, James M (I-VT)",,,,,,,6000,6200,,,,,,,,,
"Ensign, John (R-NV)",,,,,,,5316,28750,134084,,9500,2000,,,,,
"Corzine, Jon S (D-NJ)",,,,,,,1000,,,,,,,,,,
"Kerry, John (D)",,,,,,,,1013154,,,,,,,,,
"Murkowski, Lisa (R-AK)",,,,,,,,587880,25128,119050,,226968,352500,1262023,211900,189028,926598
"Alexander, Lamar (R-TN)",,,,,,,,74125,30600,226500,16750,24000,430493,12700,9000,-2500,
"Edwards, John (D)",,,,,,,,61450,,,,,,,,,
"Graham, Lindsey (R-SC)",,,,,,,,56720,164815,193874,117322,164366,319741,117881,159750,850719,48512
"Graham, Bob (D)",,,,,,,,34550,,,,,,,,,
"Coleman, Norm (R-MN)",,,,,,,,28650,64400,464600,,,,,,,
"Dole, Elizabeth (R-NC)",,,,,,,,18500,17000,403418,,,,,,,
"Chambliss, Saxby (R-GA)",,,,,,,,13500,48300,578555,22900,102053,-9300,,,,
"Pryor, Mark (D-AR)",,,,,,,,9086,53602,200385,52700,64000,387179,,,,
"Sununu, John E (R-NH)",,,,,,,,2500,25000,228100,,,,,,,
"Dayton, Mark (D-MN)",,,,,,,,2250,,,,,,,,,
"Talent, James M (R-MO)",,,,,,,,-250,590570,,,,,,,,
"Lieberman, Joe (I-CT)",,,,,,,,,454498,-250,28500,,,,,,
"Menendez, Robert (D-NJ)",,,,,,,,,244850,54700,73900,238500,60200,19108,156154,39026,67800
"Vitter, David (R-LA)",,,,,,,,,204133,138200,695822,133900,252000,14500,,,
"Isakson, Johnny (R-GA)",,,,,,,,,81000,36800,287119,20000,28700,326100,5000,2500,
"DeMint, Jim (R-SC)",,,,,,,,,80372,143275,213244,19600,,,,,
"Burr, Richard (R-NC)",,,,,,,,,70150,87500,598596,11500,25100,753982,-500,15000,
"Martinez, Mel (R-FL)",,,,,,,,,51345,31700,-1000,,,,,,
"Salazar, Ken (D-CO)",,,,,,,,,40359,186038,-19050,,,,,,
"Thune, John (R-SD)",,,,,,,,,15439,88321,295480,144239,86398,335031,111800,87185,435153
"Obama, Barack (D-IL)",,,,,,,,,13700,,,,,,,,
"Coburn, Tom (R-OK)",,,,,,,,,11600,2800,209050,750,-750,,,,
"McCain, John (R)",,,,,,,,,,5195642,,,,,,,
"Obama, Barack (D)",,,,,,,,,,3864489,,,,,,,
"Wicker, Roger (R-MS)",,,,,,,,,,361900,81250,313692,-5000,28700,380425,60333,61555
"Barrasso, John (R-WY)",,,,,,,,,,361450,89500,707747,154925,146750,832800,160542,228129
"Corker, Bob (R-TN)",,,,,,,,,,130683,58586,494558,8302,11854,40360,,
"Webb, Jim (D-VA)",,,,,,,,,,48500,62900,-19900,,,,,
"Brown, Sherrod (D-OH)",,,,,,,,,,35700,64500,212343,41250,39733,172682,24542,32584
